 S0066 , 3PARA RAT ,T1071,,T1071
 S0663 , SysUpdate ,T1564,,SysUpdate
 S0663 , SysUpdate ,T1564.001,[SysUpdate](https://attack.mitre.org/software/S0663) has the ability to set file attributes to hidden.(Citation: Trend Micro Iron Tiger April 2021),SysUpdate
 S0663 , SysUpdate ,T1574,,SysUpdate
 S0663 , SysUpdate ,T1574.002,"[SysUpdate](https://attack.mitre.org/software/S0663) can load DLLs through vulnerable legitimate executables.(Citation: Trend Micro Iron Tiger April 2021)
",SysUpdate
 S0663 , SysUpdate ,T1070,,SysUpdate
 S0663 , SysUpdate ,T1070.004,[SysUpdate](https://attack.mitre.org/software/S0663) can delete its configuration file from the targeted system.(Citation: Trend Micro Iron Tiger April 2021),SysUpdate
 S0663 , SysUpdate ,T1105,[SysUpdate](https://attack.mitre.org/software/S0663) has the ability to download files to a compromised host.(Citation: Trend Micro Iron Tiger April 2021)(Citation: Lunghi Iron Tiger Linux),SysUpdate
 S0663 , SysUpdate ,T1036,,SysUpdate
 S0663 , SysUpdate ,T1036.004,"[SysUpdate](https://attack.mitre.org/software/S0663) has named their unit configuration file similarly to other unit files residing in the same directory, `/usr/lib/systemd/system/`, to appear benign.(Citation: Lunghi Iron Tiger Linux)",SysUpdate
 S0663 , SysUpdate ,T1112,[SysUpdate](https://attack.mitre.org/software/S0663) can write its configuration file to Software\Classes\scConfig in either HKEY_LOCAL_MACHINE or HKEY_CURRENT_USER.(Citation: Trend Micro Iron Tiger April 2021),SysUpdate
 S0663 , SysUpdate ,T1106,[SysUpdate](https://attack.mitre.org/software/S0663) can call the `GetNetworkParams` API as part of its C2 establishment process.(Citation: Lunghi Iron Tiger Linux),SysUpdate
 S0663 , SysUpdate ,T1027,,SysUpdate
 S0663 , SysUpdate ,T1027.002,[SysUpdate](https://attack.mitre.org/software/S0663) has been packed with VMProtect.(Citation: Trend Micro Iron Tiger April 2021)(Citation: Lunghi Iron Tiger Linux),SysUpdate
 S0663 , SysUpdate ,T1027.011,[SysUpdate](https://attack.mitre.org/software/S0663) can store its encoded configuration file within Software\Classes\scConfig in either HKEY_LOCAL_MACHINE or HKEY_CURRENT_USER.(Citation: Trend Micro Iron Tiger April 2021),SysUpdate
 S0663 , SysUpdate ,T1027.013,[SysUpdate](https://attack.mitre.org/software/S0663) can encrypt and encode its configuration file.(Citation: Trend Micro Iron Tiger April 2021),SysUpdate
 S0663 , SysUpdate ,T1057,[SysUpdate](https://attack.mitre.org/software/S0663) can collect information about running processes.(Citation: Lunghi Iron Tiger Linux),SysUpdate
 S0663 , SysUpdate ,T1113,[SysUpdate](https://attack.mitre.org/software/S0663) has the ability to capture screenshots.(Citation: Trend Micro Iron Tiger April 2021),SysUpdate
 S0663 , SysUpdate ,T1553,,SysUpdate
 S0663 , SysUpdate ,T1553.002,[SysUpdate](https://attack.mitre.org/software/S0663) has been signed with stolen digital certificates.(Citation: Lunghi Iron Tiger Linux),SysUpdate
 S0663 , SysUpdate ,T1082,"[SysUpdate](https://attack.mitre.org/software/S0663) can collect a system's architecture, operating system version, hostname, and drive information.(Citation: Trend Micro Iron Tiger April 2021)(Citation: Lunghi Iron Tiger Linux)",SysUpdate
 S0663 , SysUpdate ,T1016,[SysUpdate](https://attack.mitre.org/software/S0663) can collected the IP address and domain name of a compromised host.(Citation: Lunghi Iron Tiger Linux) ,SysUpdate
 S0663 , SysUpdate ,T1016.001,[SysUpdate](https://attack.mitre.org/software/S0663) can contact the DNS server operated by Google as part of its C2 establishment process.(Citation: Lunghi Iron Tiger Linux) ,SysUpdate
 S0663 , SysUpdate ,T1033,[SysUpdate](https://attack.mitre.org/software/S0663) can collect the username from a compromised host.(Citation: Lunghi Iron Tiger Linux),SysUpdate
 S0663 , SysUpdate ,T1007,[SysUpdate](https://attack.mitre.org/software/S0663) can collect a list of services on a victim machine.(Citation: Lunghi Iron Tiger Linux),SysUpdate
 S0663 , SysUpdate ,T1569,,SysUpdate
 S0663 , SysUpdate ,T1569.002,[SysUpdate](https://attack.mitre.org/software/S0663) can manage services and processes.(Citation: Trend Micro Iron Tiger April 2021),SysUpdate
 S0663 , SysUpdate ,T1047,[SysUpdate](https://attack.mitre.org/software/S0663) can use WMI for execution on a compromised host.(Citation: Trend Micro Iron Tiger April 2021),SysUpdate
 S0098 , T9000 ,T1560,,T9000
 S0098 , T9000 ,T1560.003,[T9000](https://attack.mitre.org/software/S0098) encrypts collected data using a single byte XOR key.(Citation: Palo Alto T9000 Feb 2016),T9000
 S0098 , T9000 ,T1123,[T9000](https://attack.mitre.org/software/S0098) uses the Skype API to record audio and video calls. It writes encrypted data to %APPDATA%\Intel\Skype.(Citation: Palo Alto T9000 Feb 2016),T9000
 S0098 , T9000 ,T1119,"[T9000](https://attack.mitre.org/software/S0098) searches removable storage devices for files with a pre-defined list of file extensions (e.g. * .doc, *.ppt, *.xls, *.docx, *.pptx, *.xlsx). Any matching files are encrypted and written to a local user directory.(Citation: Palo Alto T9000 Feb 2016)",T9000
 S0098 , T9000 ,T1546,,T9000
 S0098 , T9000 ,T1546.010,"If a victim meets certain criteria, [T9000](https://attack.mitre.org/software/S0098) uses the AppInit_DLL functionality to achieve persistence by ensuring that every user mode process that is spawned will load its malicious DLL, ResN32.dll. It does this by creating the following Registry keys: HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\AppInit_DLLs – %APPDATA%\Intel\ResN32.dll and HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\LoadAppInit_DLLs – 0x1.(Citation: Palo Alto T9000 Feb 2016)",T9000
 S0098 , T9000 ,T1574,,T9000
 S0098 , T9000 ,T1574.002,"During the [T9000](https://attack.mitre.org/software/S0098) installation process, it drops a copy of the legitimate Microsoft binary igfxtray.exe. The executable contains a side-loading weakness which is used to load a portion of the malware.(Citation: Palo Alto T9000 Feb 2016)",T9000
 S0098 , T9000 ,T1120,[T9000](https://attack.mitre.org/software/S0098) searches through connected drives for removable storage devices.(Citation: Palo Alto T9000 Feb 2016),T9000
 S0098 , T9000 ,T1113,"[T9000](https://attack.mitre.org/software/S0098) can take screenshots of the desktop and target application windows, saving them to user directories as one byte XOR encrypted .dat files.(Citation: Palo Alto T9000 Feb 2016)",T9000
 S0098 , T9000 ,T1518,,T9000
 S0098 , T9000 ,T1518.001,[T9000](https://attack.mitre.org/software/S0098) performs checks for various antivirus and security products during installation.(Citation: Palo Alto T9000 Feb 2016),T9000
 S0098 , T9000 ,T1082,[T9000](https://attack.mitre.org/software/S0098) gathers and beacons the operating system build number and CPU Architecture (32-bit/64-bit) during installation.(Citation: Palo Alto T9000 Feb 2016),T9000
 S0098 , T9000 ,T1016,[T9000](https://attack.mitre.org/software/S0098) gathers and beacons the MAC and IP addresses during installation.(Citation: Palo Alto T9000 Feb 2016),T9000
 S0098 , T9000 ,T1033,[T9000](https://attack.mitre.org/software/S0098) gathers and beacons the username of the logged in account during installation. It will also gather the username of running processes to determine if it is running as SYSTEM.(Citation: Palo Alto T9000 Feb 2016),T9000
 S0098 , T9000 ,T1124,[T9000](https://attack.mitre.org/software/S0098) gathers and beacons the system time during installation.(Citation: Palo Alto T9000 Feb 2016),T9000
 S0098 , T9000 ,T1125,[T9000](https://attack.mitre.org/software/S0098) uses the Skype API to record audio and video calls. It writes encrypted data to %APPDATA%\Intel\Skype.(Citation: Palo Alto T9000 Feb 2016),T9000
 S0011 , Taidoor ,T1071,,Taidoor
 S0011 , Taidoor ,T1071.001,[Taidoor](https://attack.mitre.org/software/S0011) has used HTTP GET and POST requests for C2.(Citation: TrendMicro Taidoor),Taidoor
 S0011 , Taidoor ,T1547,,Taidoor
 S0011 , Taidoor ,T1547.001,[Taidoor](https://attack.mitre.org/software/S0011) has modified the HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run key for persistence.(Citation: TrendMicro Taidoor),Taidoor
 S0011 , Taidoor ,T1059,,Taidoor
 S0011 , Taidoor ,T1059.003,[Taidoor](https://attack.mitre.org/software/S0011) can copy cmd.exe into the system temp folder.(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021),Taidoor
 S0011 , Taidoor ,T1005,[Taidoor](https://attack.mitre.org/software/S0011) can upload data and files from a victim's machine.(Citation: TrendMicro Taidoor),Taidoor
 S0011 , Taidoor ,T1140,[Taidoor](https://attack.mitre.org/software/S0011) can use a stream cipher to decrypt stings used by the malware.(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021),Taidoor
 S0011 , Taidoor ,T1573,,Taidoor
 S0011 , Taidoor ,T1573.001,[Taidoor](https://attack.mitre.org/software/S0011) uses RC4 to encrypt the message body of HTTP content.(Citation: TrendMicro Taidoor)(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021),Taidoor
 S0011 , Taidoor ,T1083,[Taidoor](https://attack.mitre.org/software/S0011) can search for specific files.(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021),Taidoor
 S0011 , Taidoor ,T1070,,Taidoor
 S0011 , Taidoor ,T1070.004,[Taidoor](https://attack.mitre.org/software/S0011) can use DeleteFileA to remove files from infected hosts.(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021),Taidoor
 S0011 , Taidoor ,T1105,[Taidoor](https://attack.mitre.org/software/S0011) has downloaded additional files onto a compromised host.(Citation: TrendMicro Taidoor),Taidoor
 S0011 , Taidoor ,T1112,[Taidoor](https://attack.mitre.org/software/S0011) has the ability to modify the Registry on compromised hosts using RegDeleteValueA and RegCreateKeyExA.(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021),Taidoor
 S0011 , Taidoor ,T1106,"[Taidoor](https://attack.mitre.org/software/S0011) has the ability to use native APIs for execution including GetProcessHeap, GetProcAddress, and LoadLibrary.(Citation: TrendMicro Taidoor)(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021)",Taidoor
 S0011 , Taidoor ,T1095,[Taidoor](https://attack.mitre.org/software/S0011) can use TCP for C2 communications.(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021),Taidoor
 S0011 , Taidoor ,T1027,,Taidoor
 S0011 , Taidoor ,T1027.013,[Taidoor](https://attack.mitre.org/software/S0011) can use encrypted string blocks for obfuscation.(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021),Taidoor
 S0011 , Taidoor ,T1566,,Taidoor
 S0011 , Taidoor ,T1566.001,[Taidoor](https://attack.mitre.org/software/S0011) has been delivered through spearphishing emails.(Citation: TrendMicro Taidoor),Taidoor
 S0011 , Taidoor ,T1057,[Taidoor](https://attack.mitre.org/software/S0011) can use GetCurrentProcessId for process discovery.(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021),Taidoor
 S0011 , Taidoor ,T1055,,Taidoor
 S0011 , Taidoor ,T1055.001,[Taidoor](https://attack.mitre.org/software/S0011) can perform DLL loading.(Citation: TrendMicro Taidoor)(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021),Taidoor
 S0011 , Taidoor ,T1012,[Taidoor](https://attack.mitre.org/software/S0011) can query the Registry on compromised hosts using RegQueryValueExA.(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021),Taidoor
 S0011 , Taidoor ,T1016,[Taidoor](https://attack.mitre.org/software/S0011) has collected the MAC address of a compromised host; it can also use GetAdaptersInfo to identify network adapters.(Citation: TrendMicro Taidoor)(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021),Taidoor
 S0011 , Taidoor ,T1124,[Taidoor](https://attack.mitre.org/software/S0011) can use GetLocalTime and GetSystemTime to collect system time.(Citation: CISA MAR-10292089-1.v2 TAIDOOR August 2021),Taidoor
 S0011 , Taidoor ,T1204,,Taidoor
 S0011 , Taidoor ,T1204.002,[Taidoor](https://attack.mitre.org/software/S0011) has relied upon a victim to click on a malicious email attachment.(Citation: TrendMicro Taidoor),Taidoor
 S0586 , TAINTEDSCRIBE ,T1560,[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) has used FileReadZipSend to compress a file and send to C2.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1547,,TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1547.001,[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) can copy itself into the current user’s Startup folder as “Narrator.exe” for persistence.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1059,,TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1059.003,[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) can enable Windows CLI access and execute files.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1001,,TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1001.003,[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) has used FakeTLS for session authentication.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1573,,TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1573.001,[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) uses a Linear Feedback Shift Register (LFSR) algorithm for network encryption.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1008,"[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) can randomly pick one of five hard-coded IP addresses for C2 communication; if one of the IP fails, it will wait 60 seconds and then try another IP address.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020)",TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1083,[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) can use DirectoryList to enumerate files in a specified directory.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1070,,TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1070.004,[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) can delete files from a compromised host.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1070.006,[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) can change the timestamp of specified filenames.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1105,[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) can download additional modules from its C2 server.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1036,,TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1036.005,The [TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) main executable has disguised itself as Microsoft’s Narrator.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1027,,TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1027.001,[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) can execute FileRecvWriteRand to append random bytes to the end of a file received from C2.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1057,[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) can execute ProcessList for process discovery.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1018,The [TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) command and execution module can perform target system enumeration.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1082,[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) can use DriveList to retrieve drive information.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0586 , TAINTEDSCRIBE ,T1124,[TAINTEDSCRIBE](https://attack.mitre.org/software/S0586) can execute GetLocalTime for time discovery.(Citation: CISA MAR-10288834-2.v1  TAINTEDSCRIBE MAY 2020),TAINTEDSCRIBE
 S0467 , TajMahal ,T1560,,TajMahal
 S0467 , TajMahal ,T1560.002,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to use the open source libraries XZip/Xunzip and zlib to compress files.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1123,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to capture VoiceIP application audio on an infected host.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1119,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to index and compress files into a send queue for exfiltration.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1020,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to manage an automated queue of egress files and commands sent to its C2.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1115,"[TajMahal](https://attack.mitre.org/software/S0467) has the ability to steal data from the clipboard of an infected host.(Citation: Kaspersky TajMahal April 2019)
",TajMahal
 S0467 , TajMahal ,T1005,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to steal documents from the local system including the print spooler queue.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1025,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to steal written CD images and files of interest from previously connected removable drives when they become available again.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1041,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to send collected files over its C2.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1083,"[TajMahal](https://attack.mitre.org/software/S0467) has the ability to index files from drives, user profiles, and removable drives.(Citation: Kaspersky TajMahal April 2019)",TajMahal
 S0467 , TajMahal ,T1056,,TajMahal
 S0467 , TajMahal ,T1056.001,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to capture keystrokes on an infected host.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1112,[TajMahal](https://attack.mitre.org/software/S0467) can set the KeepPrintedJobs attribute for configured printers in SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Print\\Printers to enable document stealing.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1027,[TajMahal](https://attack.mitre.org/software/S0467) has used an encrypted Virtual File System to store plugins.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1120,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to identify connected Apple devices.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1057,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to identify running processes and associated plugins on an infected host.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1055,,TajMahal
 S0467 , TajMahal ,T1055.001,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to inject DLLs for malicious plugins into running processes.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1113,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to take screenshots on an infected host including capturing content from windows of instant messaging applications.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1129,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to inject the LoadLibrary call template DLL into running processes.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1518,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to identify the Internet Explorer (IE) version on an infected host.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1518.001,"[TajMahal](https://attack.mitre.org/software/S0467) has the ability to identify which anti-virus products, firewalls, and anti-spyware products are in use.(Citation: Kaspersky TajMahal April 2019)",TajMahal
 S0467 , TajMahal ,T1539,"[TajMahal](https://attack.mitre.org/software/S0467) has the ability to steal web session cookies from Internet Explorer, Netscape Navigator, FireFox and RealNetworks applications.(Citation: Kaspersky TajMahal April 2019)",TajMahal
 S0467 , TajMahal ,T1082,"[TajMahal](https://attack.mitre.org/software/S0467) has the ability to identify hardware information, the computer name, and OS information on an infected host.(Citation: Kaspersky TajMahal April 2019)",TajMahal
 S0467 , TajMahal ,T1016,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to identify the MAC address on an infected host.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1124,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to determine local time on a compromised host.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S0467 , TajMahal ,T1125,[TajMahal](https://attack.mitre.org/software/S0467) has the ability to capture webcam video.(Citation: Kaspersky TajMahal April 2019),TajMahal
 S1011 , Tarrask ,T1134,,Tarrask
 S1011 , Tarrask ,T1134.001,[Tarrask](https://attack.mitre.org/software/S1011) leverages token theft to obtain `lsass.exe` security permissions.(Citation: Tarrask scheduled task) ,Tarrask
 S1011 , Tarrask ,T1059,,Tarrask
 S1011 , Tarrask ,T1059.003,"[Tarrask](https://attack.mitre.org/software/S1011) may abuse the Windows schtasks command-line tool to create ""hidden"" scheduled tasks.(Citation: Tarrask scheduled task)",Tarrask
 S1011 , Tarrask ,T1564,[Tarrask](https://attack.mitre.org/software/S1011) is able to create “hidden” scheduled tasks by deleting the Security Descriptor (`SD`) registry value.(Citation: Tarrask scheduled task),Tarrask
 S1011 , Tarrask ,T1036,,Tarrask
 S1011 , Tarrask ,T1036.004,[Tarrask](https://attack.mitre.org/software/S1011) creates a scheduled task called “WinUpdate” to re-establish any dropped  C2 connections.(Citation: Tarrask scheduled task),Tarrask
 S1011 , Tarrask ,T1036.005,"[Tarrask](https://attack.mitre.org/software/S1011) has masqueraded as executable files such as `winupdate.exe`, `date.exe`, or `win.exe`.(Citation: Tarrask scheduled task)   ",Tarrask
 S1011 , Tarrask ,T1112,[Tarrask](https://attack.mitre.org/software/S1011) is able to delete the Security Descriptor (`SD`) registry subkey in order to “hide” scheduled tasks.(Citation: Tarrask scheduled task),Tarrask
 S1011 , Tarrask ,T1053,,Tarrask
 S1011 , Tarrask ,T1053.005,[Tarrask](https://attack.mitre.org/software/S1011) is able to create “hidden” scheduled tasks for persistence.(Citation: Tarrask scheduled task),Tarrask
 S0057 , Tasklist ,T1057,[Tasklist](https://attack.mitre.org/software/S0057) can be used to discover processes running on a system.(Citation: Microsoft Tasklist),Tasklist
 S0057 , Tasklist ,T1518,,Tasklist
 S0057 , Tasklist ,T1518.001,[Tasklist](https://attack.mitre.org/software/S0057) can be used to enumerate security software currently running on a system by process name of known products.(Citation: Microsoft Tasklist),Tasklist
 S0057 , Tasklist ,T1007,[Tasklist](https://attack.mitre.org/software/S0057) can be used to discover services running on a system.(Citation: Microsoft Tasklist),Tasklist
 S0164 , TDTESS ,T1059,,TDTESS
 S0164 , TDTESS ,T1059.003,[TDTESS](https://attack.mitre.org/software/S0164) provides a reverse shell on the victim.(Citation: ClearSky Wilted Tulip July 2017),TDTESS
 S0164 , TDTESS ,T1543,,TDTESS
 S0164 , TDTESS ,T1543.003,"If running as administrator, [TDTESS](https://attack.mitre.org/software/S0164) installs itself as a new service named bmwappushservice to establish persistence.(Citation: ClearSky Wilted Tulip July 2017)",TDTESS
 S0164 , TDTESS ,T1070,,TDTESS
 S0164 , TDTESS ,T1070.004,[TDTESS](https://attack.mitre.org/software/S0164) creates then deletes log files during installation of itself as a service.(Citation: ClearSky Wilted Tulip July 2017),TDTESS
 S0164 , TDTESS ,T1070.006,"After creating a new service for persistence, [TDTESS](https://attack.mitre.org/software/S0164) sets the file creation time for the service to the creation time of the victim's legitimate svchost.exe file.(Citation: ClearSky Wilted Tulip July 2017)",TDTESS
 S0164 , TDTESS ,T1105,[TDTESS](https://attack.mitre.org/software/S0164) has a command to download and execute an additional file.(Citation: ClearSky Wilted Tulip July 2017),TDTESS
 S0560 , TEARDROP ,T1543,,TEARDROP
 S0560 , TEARDROP ,T1543.003,[TEARDROP](https://attack.mitre.org/software/S0560) ran as a Windows service from the c:\windows\syswow64 folder.(Citation: Check Point Sunburst Teardrop December 2020)(Citation: FireEye SUNBURST Backdoor December 2020),TEARDROP
 S0560 , TEARDROP ,T1140,[TEARDROP](https://attack.mitre.org/software/S0560) was decoded using a custom rolling XOR algorithm to execute a customized [Cobalt Strike](https://attack.mitre.org/software/S0154) payload.(Citation: FireEye SUNBURST Backdoor December 2020)(Citation: Check Point Sunburst Teardrop December 2020)(Citation: Microsoft Deep Dive Solorigate January 2021),TEARDROP
 S0560 , TEARDROP ,T1036,,TEARDROP
 S0560 , TEARDROP ,T1036.005,[TEARDROP](https://attack.mitre.org/software/S0560) files had names that resembled legitimate Window file and directory names.(Citation: FireEye SUNBURST Backdoor December 2020)(Citation: Microsoft Deep Dive Solorigate January 2021),TEARDROP
 S0560 , TEARDROP ,T1112,[TEARDROP](https://attack.mitre.org/software/S0560) modified the Registry to create a Windows service for itself on a compromised host.(Citation: Check Point Sunburst Teardrop December 2020),TEARDROP
 S0560 , TEARDROP ,T1027,"[TEARDROP](https://attack.mitre.org/software/S0560) created and read from a file with a fake JPG header, and its payload was encrypted with a simple rotating XOR cipher.(Citation: FireEye SUNBURST Backdoor December 2020)(Citation: Check Point Sunburst Teardrop December 2020)(Citation: Microsoft Deep Dive Solorigate January 2021)",TEARDROP
 S0560 , TEARDROP ,T1012,[TEARDROP](https://attack.mitre.org/software/S0560) checked that HKU\SOFTWARE\Microsoft\CTF existed before decoding its embedded payload.(Citation: FireEye SUNBURST Backdoor December 2020)(Citation: Microsoft Deep Dive Solorigate January 2021) ,TEARDROP
 S0146 , TEXTMATE ,T1071,,TEXTMATE
 S0146 , TEXTMATE ,T1071.004,[TEXTMATE](https://attack.mitre.org/software/S0146) uses DNS TXT records for C2.(Citation: FireEye FIN7 March 2017),TEXTMATE
 S0146 , TEXTMATE ,T1059,,TEXTMATE
 S0146 , TEXTMATE ,T1059.003,[TEXTMATE](https://attack.mitre.org/software/S0146) executes cmd.exe to provide a reverse shell to adversaries.(Citation: FireEye FIN7 March 2017)(Citation: Cisco DNSMessenger March 2017),TEXTMATE
 S0595 , ThiefQuest ,T1071,,ThiefQuest
 S0595 , ThiefQuest ,T1071.001,[ThiefQuest](https://attack.mitre.org/software/S0595) uploads files via unencrypted HTTP. (Citation: wardle evilquest partii)(Citation: reed thiefquest ransomware analysis),ThiefQuest
 S0595 , ThiefQuest ,T1059,,ThiefQuest
 S0595 , ThiefQuest ,T1059.002,[ThiefQuest](https://attack.mitre.org/software/S0595) uses [AppleScript](https://attack.mitre.org/techniques/T1059/002)'s osascript -e command to launch [ThiefQuest](https://attack.mitre.org/software/S0595)'s persistence via [Launch Agent](https://attack.mitre.org/techniques/T1543/001) and [Launch Daemon](https://attack.mitre.org/techniques/T1543/004). (Citation: wardle evilquest parti),ThiefQuest
 S0595 , ThiefQuest ,T1554,"[ThiefQuest](https://attack.mitre.org/software/S0595) searches through the /Users/ folder looking for executable files. For each executable, [ThiefQuest](https://attack.mitre.org/software/S0595) prepends a copy of itself to the beginning of the file. When the file is executed, the [ThiefQuest](https://attack.mitre.org/software/S0595) code is executed first. [ThiefQuest](https://attack.mitre.org/software/S0595) creates a hidden file, copies the original target executable to the file, then executes the new hidden file to maintain the appearance of normal behavior. (Citation: wardle evilquest partii)(Citation: reed thiefquest ransomware analysis)",ThiefQuest
